915resolution	0.5.2
a52dec	0.7.4
aalib	1.4_rc4
accessrunner-firmware	1.0
acerhk	0.5.34
acl	2.2.39
acpid	1.0.4
acpi	0.09
acx100	0.3.5_20060521
acx100-firmware	1.0_20050927
agg	2.5
akode	2.0
alsa-driver	1.0.13
alsa-firmware	1.0.13
alsa-headers	1.0.13
alsa-lib	1.0.13
alsa-oss	1.0.12
alsa-utils	1.0.13
amarok	1.4.4
antiword	0.37
apr1	1.2.7
apr	0.9.12
apr-util1	1.2.7
apr-util	0.9.12
arts	3.5.5
artwork	0.2
aspell	0.60.4
aspell-en	6.0
aspell-nl	0.50.2
atk	1.10.3
atmel-firmware	1.3
attr	2.4.32
audiofile	0.2.6
autoconf2_13	2.13
autoconf2_59	2.59
autoconf-wrapper	2
automake1_4	1.4_p6
automake1_5	1.5
automake1_6	1.6.3
automake1_7	1.7.9
automake1_8	1.8.5
automake1_9	1.9.6
automake-wrapper	1
axel	1.0b
baselayout	2.0.4
bash	3.1
basket	0.6.0
bcm43xx-firmware	3.130.20.0
bc	1.06.95
bind-tools	9.3.2_p2
binutils	2.16.1
bison	2.1
bluez-firmware	1.2
bluez-libs	3.7
bluez-utils	3.7
bogofilter	1.1.1
boost	1.33.1
br2684ctl	20040226
bridge-utils	1.2
bzip2	1.0.3
cabextract	1.2
cairomm	1.2.2
cairo	1.2.4
ccache	2.3
cdparanoia	3.9.8
cdrdao	1.2.2
cdrtools	2.01.01_alpha20
chmlib	0.38
chromium	0.9.12
chromium-data	0.9.12
cmake	2.4.5
comar	1.10
comar-api	1.9
coolplug	0.2
coreutils	6.7
cpio	2.6
cracklib	2.8.9
crack-attack	1.1.14
crack-attack-music	2
crack-attack-sounds	1
cryptsetup-luks	1.0.4
crystal	1.0.1
ctags	5.6
cups	1.2.7
curl	7.15.5
cyrus-sasl	2.1.22
db1	1.85
db3	3.2.9
db4	4.2.52_p4
dbus	0.62
dcraw	1.323
ddcxinfos	0.1
debianutils	2.15
dejavu-fonts	2.12
device-mapper	1.02.10
dhcpcd	2.0.8
dialog	1.0_20060221
diffutils	2.8.7
digikamimageplugins	0.9.0_rc2
digikam	0.9.0_rc2
DirectFB	0.9.25.1
disktype	9
disk-manager	1.1
dmidecode	2.8
dosbox	0.65
dosfstools	2.11
dstat	0.6.2
dvd+rw-tools	7.0
dvgrab	2.0
e2fsprogs	1.38
eagle-firmware	1.1
eciadsl	0.11
ed	0.2
eject	2.1.5
elfutils	0.121
esound	0.2.36
essential	0.0_20060611
ethtool	5
exiv2	0.12
expat	1.95.8
faac	1.24
faad2	2.0
fbgrab	1.0
fbset	2.1
feedback	1.0.5
ffmpeg	0.4.9_20061122
fftw3	3.1.2
file	4.17
findutils	4.3.1
firefox	2.0
firewall-config	1.6.2
