abandon	terketmek, bırakıp kaçmak
abandoned	terkedilmiş
abashed	utanmış, mahçup
abate	dinmek, yatışmak, azalmak
abattoir	mezbaha, salhane
abbey	manastır, keşişhane
abbot	başrahip
abbreviate	kısaltmak
abbreviation	kısaltma
abdicate	resmen çekilmek, feragat etmek
abdication	tahttan çekilme
abdomen	karın
abdominal	karna ait
abdominal cavity	karın boşluğu
abduct	adam kaçırmak
abduction	adam kaçırma
aberration	sapma
abet	suça yardım etme
abettor	suç ortağı
abeyance	yürürlükten kaldırış
abhor	nefret duymak, tiksinmek, iğrenmek
abhorrence	nefret, tiksinti, iğrenme
abide	tahammül etmek, uymak
ability	yetenek, kabiliyet
abject	sefil, acınacak halde
ablaze	yanmakta, tutuşmuş, pırıl pırıl, içi kabarmış
able	yapabilecek olan, becerikli, gücü kuvveti yerinde
abnormal	anormal, garip, olağan dışı
abnormality	anormallik
aboard	gemide, trende, uçakta
abolish	sona erdirmek
abolition	yürürlükten kaldırma
abominable	iğrenç, nefret uyandıran
abominality	berbat olarak
aborigine	Avustralya yerlisi
abortion	çocuk düşürme
abound	çok sayıda, büyük miktarda
about	hakkında, dair, çevresinde, aşağı yukarı, yaklaşık olarak
above	yukarıda, önceki sayfaların birinde, tepede, cennette
abrasion	aşınma, yenme
abrasive	aşındırıcı, rahatsız edici
abreast	yan yana, bir hizada
abridge	kısaltmak
abroad	yurt dışında
abrupt	birden bire, ani, kaba, ters, nezaketsiz
abruptly	aniden
abscess	deride şişkinlik, kızartı, irin birikimi
abscond	gizlice kaçmak, sıvışmak
absence	yokluk, hazır bulunmayış, eksiklik
absent	hazır değil, yok, dalgın
absolute	tam, eksiksiz, mutlak, sınırsız
absolutely	tamamen, kesinlikle
absolutism	mutlakiyet yönetimi
absolve	günahı bağışlamak, bir görevden affetmek
absorb	emmek, içine çekmek, dikkatini bir işte yoğunlaştırmak
absorbent	emici
absorbing	çok ilgi çekici
abstain	çekinmek, kaçınmak, kullanmamak
abstemious	az yeyip içen
abstention	çekimserlik, çekinme
abstinence	perhiz, rejim
abstract	soyut, kavranması güç, özet, çalmak, aşırmak
abstracted	zihni meşgul
abstraction	dalgınlık
abstruse	muğlak, anlaşılması güç
absurd	saçma, anlamsız, gülünç
absurdity	gülünçlük, anlamsızlık, saçmalık
abundance	bolluk, bereket
abundant	bol
abuse	kaba, terbiyesiz sözler, kötüye kullanma, suistimal
abusive	ağzı bozuk
abysmal	çok kötü, son derece berbat
abyss	dipsiz, bucaksız kuyu
academic	akademik, öğretimle ilgili
academy	akademi, yüksek okul, bilginler kurulu
accede	razı olmak, onaylamak
accelerate	hızlanmak
acceleration	hızlanma, ivme
accelerator	gaz pedalı
accent	ağız, vurgu, aksan işareti
accentuate	heceleri üstüne basarak okumak, sesletmek, ortaya çıkarmak
accept	kabul etmek, almak, inanmak
acceptable	kabul etmeye değer
acceptance	kabul, onay
accepted	doğruluğu kabul edilmiş
access	giriş, kullanma hakkı
accessible	ulaşılabilir, erişmesi kolay
accession	bir mevkiye geliş, cülus
accessory	aksesuar, bütünleyici şeyler
accident	kaza, rastlantı
accidental	rastlantısal, kaza eseri
accidentally	istemeyerek
acclaim	alkışlamak, coşku ile karşılamak
acclimatize	yeni iklime alışmak
accomodate	yeteri kadar yeri olmak
accomodating	uysal, yumuşak başlı
accomodation	yatacak kalacak yer
accompany	eşlik etmek, refakat
accomplice	suç ortağı, yardakçı
accomplish	başarmak, becermek, üstesinden gelmek
accomplished	hünerli, becerikli
accomplishment	başarı
accord	uyum, uzlaşma, ahenk, içtenlikle vermek
accordingly	bu nedenle
accordion	akordiyon
accost	birisine yanaşmak, yaklaşıp konuşmak
account	açıklamak, hesap vermek, rapor, para kaydı, hesap
accountable	sorumlu, mesul
accountancy	muhasebecilik
accountant	muhasebeci
accrue	artmak, çoğalmak
accumulate	toplamak, biriktirmek, yığın haline gelmek
accumulation	biriktirme, birikinti
accurate	yanlışsız, kesinlikle doğru, tam, dikkatli
accurately	tam olarak
accuracy	doğruluk, dikkat
accusative	ismin -i hali
accuse	suçlamak, itham etmek
accusation	suçlama
accused	sanık
accustom	alıştırmak
